Cc1ccc(NC(=O)CSC2=C(*)C(c3ccccc3C(F)(F)F)C3=C(CCCC3=O)N2)c(C)c1;C#N;Cc1ccc(NC(=O)CSC2=C(C#N)C(c3ccccc3C(F)(F)F)C3=C(CCCC3=O)N2)c(C)c1
COc1ccc(NC(=O)CSc2nnc(Cc3cc(=O)[nH]c(=O)[nH]3)n2-c2cccc(*)c2)cc1;OC;COc1ccc(NC(=O)CSc2nnc(Cc3cc(=O)[nH]c(=O)[nH]3)n2-c2cccc(OC)c2)cc1
CCOC(=O)*;c1sc(=S)n(-c2ccc3c(c2)OCO3)c1N;CCOC(=O)c1sc(=S)n(-c2ccc3c(c2)OCO3)c1N
CCOC(=O)CS*;C1=C(C#N)C(c2ccc(C(C)C)cc2)CC(=O)N1;CCOC(=O)CSC1=C(C#N)C(c2ccc(C(C)C)cc2)CC(=O)N1
O(C(=O)N1CCN(C(=O)CSc2nnc(COc3ccc(Cl)cc3)o2)CC1)*;CC;CCOC(=O)N1CCN(C(=O)CSc2nnc(COc3ccc(Cl)cc3)o2)CC1
COc1ccc(CC(=O)Nc2nc(-c3cc(*)ccc3OC)cs2)cc1;OC;COc1ccc(CC(=O)Nc2nc(-c3cc(OC)ccc3OC)cs2)cc1
Cc1c(Cl)cccc1-n1c(-c2ccccc2)cn2c3c(=O)n(CC*)c(=O)n(C)c3nc12;CO;Cc1c(Cl)cccc1-n1c(-c2ccccc2)cn2c3c(=O)n(CCCO)c(=O)n(C)c3nc12
Cc1ccnc2c(*)cccc12;C(=O)O;Cc1ccnc2c(C(=O)O)cccc12
O=C(NCC(N1CCOCC1)*)c1ccc2ccccc2c1;c1cccs1;O=C(NCC(c1cccs1)N1CCOCC1)c1ccc2ccccc2c1
O=C(N1CCCCC1)*;Cn1cnc2c(nnn2Cc2ccc(F)cc2)c1=O;O=C(Cn1cnc2c(nnn2Cc2ccc(F)cc2)c1=O)N1CCCCC1
CC(C1C2CC3CC(C2)CC1C3)*;NS(=O)(=O)c1ccc(F)cc1;CC(NS(=O)(=O)c1ccc(F)cc1)C1C2CC3CC(C2)CC1C3
COc1ccccc1NC(=O)C*;Sc1nccn1-c1cc(C)cc(C)c1;COc1ccccc1NC(=O)CSc1nccn1-c1cc(C)cc(C)c1
CCN(c1ccccc1)S(=O)(=O)*;c1cc2c3c(c1)CCN3C(=O)CC2;CCN(c1ccccc1)S(=O)(=O)c1cc2c3c(c1)CCN3C(=O)CC2
N1(*)C(=O)C(O)=C(C(=O)c2ccc(C)o2)C1c1ccc(OC(C)C)cc1;CCN(CC)CC;CCN(CC)CCN1C(=O)C(O)=C(C(=O)c2ccc(C)o2)C1c1ccc(OC(C)C)cc1
O=C(Nc1nnc(-c2ccc(Br)cc2)s1)*;CCCCl;O=C(CCCCl)Nc1nnc(-c2ccc(Br)cc2)s1
COc1ccc(C(=O)/C(=C\c2ccc(*)c(OC)c2)c2nc3ccccc3o2)cc1;OC;COc1ccc(C(=O)/C(=C\c2ccc(OC)c(OC)c2)c2nc3ccccc3o2)cc1
n1(*)cc(S(=O)(=O)c2ccccc2)c(=O)c2cc(OC)ccc12;CCCC;CCCCn1cc(S(=O)(=O)c2ccccc2)c(=O)c2cc(OC)ccc21
Cc1c(Cl)ccc2sc(NC(=O)c3ccc(*)o3)nc12;[N+](=O)[O-];Cc1c(Cl)ccc2sc(NC(=O)c3ccc([N+](=O)[O-])o3)nc12
O=C(N/N=C/c1ccccc1)*;CNC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1;O=C(CNC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1)N/N=C/c1ccccc1
CCS(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2*)CCCC3)cc1;C(N)=O;CCS(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1
CSCCC(N1C(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)SC1=S)*;C(=O)O;CSCCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)SC1=S
O=C(N*)C1COc2ccccc2O1;c1nc2c(s1)Cc1ccccc1-2;O=C(Nc1nc2c(s1)Cc1ccccc1-2)C1COc2ccccc2O1
CCC(=O)NC*;c1nc2ccccc2n1Cc1ccccc1F;CCC(=O)NCc1nc2ccccc2n1Cc1ccccc1F
O(C(=O)C1=C(C)N(C)C(=S)NC1c1ccc(OC)c(OC)c1)*;CC;CCOC(=O)C1=C(C)N(C)C(=S)NC1c1ccc(OC)c(OC)c1
O=C(NCc1ccccc1Cl)*;Cn1cnc2c(cnn2-c2ccc(Cl)cc2)c1=O;O=C(Cn1cnc2c(cnn2-c2ccc(Cl)cc2)c1=O)NCc1ccccc1Cl
COc1cc(/C=C2\SC(=S)N(C(C(=O)O)*)C2=O)cc(OC)c1OC;CC(C)C;COc1cc(/C=C2\SC(=S)N(C(CC(C)C)C(=O)O)C2=O)cc(OC)c1OC
CC(C)(C)OC(=O)*;c1c(N)n(Cc2ccco2)c2nc3ccccc3nc12;CC(C)(C)OC(=O)c1c(N)n(Cc2ccco2)c2nc3ccccc3nc12
COc1ccccc1NC(=O)*;C1=C(C)Nc2ncnn2C1c1cccc(F)c1;COc1ccccc1NC(=O)C1=C(C)Nc2ncnn2C1c1cccc(F)c1
CS(=O)(=O)Nc1cccc(C2=NN(C(=O)CC*)C(c3cccs3)C2)c1;CC(=O)O;CS(=O)(=O)Nc1cccc(C2=NN(C(=O)CCCC(=O)O)C(c3cccs3)C2)c1
